title,url,id,location,xl url,img_name,xl img,date,department
Mechanical Engineer (Satellites),https://boards.greenhouse.io/spacex/jobs/4246690002?gh_jid=4246690002,4246690002,"Redmond, WA, United States",View Online,spacex_job_images/4246690002.png,Job Img,4/23/2019,
Avionics Production Supervisor - PCBA & Electro-Mechanical Assembly,https://boards.greenhouse.io/spacex/jobs/4228855002?gh_jid=4228855002,4228855002,"Hawthorne, CA, United States",View Online,spacex_job_images/4228855002.png,Job Img,4/23/2019,
Avionics Production Test Supervisor,https://boards.greenhouse.io/spacex/jobs/4243706002?gh_jid=4243706002,4243706002,"Hawthorne, CA, United States",View Online,spacex_job_images/4243706002.png,Job Img,4/23/2019,
Production Supervisor,https://boards.greenhouse.io/spacex/jobs/4200479002?gh_jid=4200479002,4200479002,"Hawthorne, CA, United States",View Online,spacex_job_images/4200479002.png,Job Img,4/23/2019,
Manufacturing Specialist (PCBA SMT),https://boards.greenhouse.io/spacex/jobs/4199817002?gh_jid=4199817002,4199817002,"Redmond, WA, United States",View Online,spacex_job_images/4199817002.png,Job Img,4/23/2019,
CMM Inspector,https://boards.greenhouse.io/spacex/jobs/4190848002?gh_jid=4190848002,4190848002,"Redmond, WA, United States",View Online,spacex_job_images/4190848002.png,Job Img,4/23/2019,
Quality Inspector,https://boards.greenhouse.io/spacex/jobs/4244841002?gh_jid=4244841002,4244841002,"Hawthorne, CA, United States",View Online,spacex_job_images/4244841002.png,Job Img,4/23/2019,
Quality Inspector - 2nd Shift,https://boards.greenhouse.io/spacex/jobs/4206231002?gh_jid=4206231002,4206231002,"Hawthorne, CA, United States",View Online,spacex_job_images/4206231002.png,Job Img,4/23/2019,
Receiving Inspector - 2nd shift,https://boards.greenhouse.io/spacex/jobs/4235051002?gh_jid=4235051002,4235051002,"Redmond, WA, United States",View Online,spacex_job_images/4235051002.png,Job Img,4/23/2019,
5-Axis CNC Machinist - 2nd Shift (Weekend),https://boards.greenhouse.io/spacex/jobs/4221041002?gh_jid=4221041002,4221041002,"Hawthorne, CA, United States",View Online,spacex_job_images/4221041002.png,Job Img,4/23/2019,
